774,1,2,774,"Health & Medical",Osteopaths
801,1,2,801,"Health & Medical","Dental Hygienists"
802,2,2,801,"Health & Medical","Dental Hygienists"
803,2,2,801,"Health & Medical","Dental Hygienists"
802,1,2,802,"Health & Medical","Mobile Clinics"
803,1,2,803,"Health & Medical","Storefront Clinics"
808,1,2,808,"Health & Medical",Urologists
879,1,2,879,"Health & Medical",Hypnosis/Hypnotherapy
886,1,2,886,"Health & Medical",Doulas
891,1,2,891,"Health & Medical","Health Insurance Offices"
928,1,2,928,"Health & Medical",Reiki
941,1,2,941,"Health & Medical","Lice Services"
944,1,2,944,"Health & Medical","Medical Foot Care"
945,1,2,945,"Health & Medical",Psychologists
957,1,2,957,"Health & Medical","Emergency Rooms"
962,1,2,962,"Health & Medical",Psychoanalysts
967,1,2,967,"Health & Medical",Prosthetics
968,1,2,968,"Health & Medical",Orthotics
977,1,2,977,"Health & Medical",Endocrinologists
981,1,2,981,"Health & Medical",Psychotherapists
983,1,2,983,"Health & Medical",Radiologists
993,1,2,993,"Health & Medical",Rheumatologists
1039,1,2,1039,"Health & Medical","Sports Psychologists"
1054,1,2,1054,"Health & Medical","Sex Therapists"
1080,1,2,1080,"Health & Medical","Sleep Specialists"
1081,1,2,1081,"Health & Medical","Nurse Practitioner"
1117,1,2,1117,"Health & Medical","Personal Care Services"
1122,1,2,1122,"Health & Medical",Colonics
1129,1,2,1129,"Health & Medical","Blood & Plasma Donation Centers"
1140,1,2,1140,"Health & Medical","Dialysis Clinics"
1146,1,2,1146,"Health & Medical","Prenatal/Perinatal Care"
1149,1,2,1149,"Health & Medical","Habilitative Services"
2,0,2,NULL,"Health & Medical",NULL
6,1,4,6,"Real Estate","Property Management"
34,1,4,34,"Real Estate","Real Estate Services"
35,1,4,35,"Real Estate",Apartments
150,1,4,150,"Real Estate","Mortgage Brokers"
341,1,4,341,"Real Estate","Real Estate Agents"
433,1,4,433,"Real Estate","Home Staging"
478,1,4,478,"Real Estate","University Housing"
686,1,4,686,"Real Estate","Commercial Real Estate"
742,1,4,742,"Real Estate","Shared Office Spaces"
1012,1,4,1012,"Real Estate","Kitchen Incubators"
1056,1,4,1056,"Real Estate","Mobile Home Dealers"
1085,1,4,1085,"Real Estate","Art Space Rentals"
1100,1,4,1100,"Real Estate","Estate Liquidation"
4,1,5,4,"Home Services","Real Estate"
6,1,5,6,"Home Services","Property Management"
34,1,5,34,"Home Services","Real Estate Services"
35,1,5,35,"Home Services",Apartments
40,1,5,40,"Home Services","Interior Design"
54,1,5,54,"Home Services",Contractors
58,1,5,58,"Home Services",Plumbing
127,1,5,127,"Home Services",Movers
150,1,5,150,"Home Services","Mortgage Brokers"
158,1,5,158,"Home Services","Home Inspectors"
161,1,5,161,"Home Services",Painters
162,1,5,162,"Home Services",Electricians
169,1,5,169,"Home Services","Building Supplies"
170,1,5,170,"Home Services",Carpeting
188,1,5,188,"Home Services","Home Cleaning"
222,1,5,222,"Home Services","Shades & Blinds"
246,1,5,246,"Home Services","Keys & Locksmiths"
270,1,5,270,"Home Services","Lighting Fixtures & Equipment"
283,1,5,283,"Home Services","Internet Service Providers"
299,1,5,299,"Home Services",Flooring
325,1,5,325,"Home Services","Heating & Air Conditioning/HVAC"
341,1,5,341,"Home Services","Real Estate Agents"
355,1,5,355,"Home Services",Roofing
356,1,5,356,"Home Services",Landscaping
367,1,5,367,"Home Services","Windows Installation"
371,1,5,371,"Home Services","Tree Services"
378,1,5,378,"Home Services",Gardeners
380,1,5,380,"Home Services","Pool Cleaners"
381,1,5,381,"Home Services","Landscape Architects"
386,1,5,386,"Home Services",Carpenters
409,1,5,409,"Home Services","Security Systems"
411,1,5,411,"Home Services","Carpet Installation"
428,1,5,428,"Home Services",Handyman
430,1,5,430,"Home Services","Television Service Providers"
433,1,5,433,"Home Services","Home Staging"
447,1,5,447,"Home Services","Home Theatre Installation"
476,1,5,476,"Home Services","Window Washing"
478,1,5,478,"Home Services","University Housing"
499,1,5,499,"Home Services","Solar Installation"
636,1,5,636,"Home Services",Masonry/Concrete
684,1,5,684,"Home Services","Home Organization"
686,1,5,686,"Home Services","Commercial Real Estate"
707,1,5,707,"Home Services","Garage Door Services"
742,1,5,742,"Home Services","Shared Office Spaces"
778,1,5,778,"Home Services",Utilities
797,1,5,797,"Home Services","Home Window Tinting"
800,1,5,800,"Home Services",Irrigation
844,1,5,844,"Home Services","Damage Restoration"
867,1,5,867,"Home Services","Door Sales/Installation"
874,1,5,874,"Home Services","Fences & Gates"
875,1,5,875,"Home Services","Structural Engineers"
882,1,5,882,"Home Services","Gutter Services"
883,1,5,883,"Home Services","Glass & Mirrors"
888,1,5,888,"Home Services","Chimney Sweeps"
909,1,5,909,"Home Services","Pressure Washers"
910,1,5,910,"Home Services",Cabinetry
933,1,5,933,"Home Services","Drywall Installation & Repair"
960,1,5,960,"Home Services","Fireplace Services"
978,1,5,978,"Home Services",Firewood
985,1,5,985,"Home Services","Pool & Hot Tub Service"
989,1,5,989,"Home Services","Insulation Installation"
1009,1,5,1009,"Home Services","Furniture Assembly"
1012,1,5,1012,"Home Services","Kitchen Incubators"
1030,1,5,1030,"Home Services",Shutters
1052,1,5,1052,"Home Services","Refinishing Services"
1056,1,5,1056,"Home Services","Mobile Home Dealers"
1057,1,5,1057,"Home Services","Stucco Services"
1068,1,5,1068,"Home Services","Fire Protection Services"
1078,1,5,1078,"Home Services","Water Purification Services"
1083,1,5,1083,"Home Services","Home Automation"
1085,1,5,1085,"Home Services","Art Space Rentals"
1100,1,5,1100,"Home Services","Estate Liquidation"
1109,1,5,1109,"Home Services",Tiling
1114,1,5,1114,"Home Services","House Sitters"
1123,1,5,1123,"Home Services",Childproofing
1131,1,5,1131,"Home Services","Demolition Services"
5,0,5,NULL,"Home Services",NULL
9,1,8,9,Shopping,Drugstores
13,1,8,13,Shopping,Computers
43,1,8,43,Shopping,Jewelry
44,1,8,44,Shopping,Bookstores
46,2,8,45,Shopping,"Books, Mags, Music & Video"
44,2,8,45,Shopping,"Books, Mags, Music & Video"
